,Date,Adj Close,Close,High,Low,Open,Volume,Ticker,Return,SMA20,MiddleBand,UpperBand,LowerBand,LowerBand_2,Signal,Decision,Strategy Return,Equity Curve,Buy,Sell,Trx Return,Sell Date,Sell Close,Win Loss
22210,2022-01-28,6055.302734375,6475.0,6475.0,6400.0,6425.0,2348500,CPIN.JK,0.0077821011673151474,6247.5,,,,,0,,,,False,False,,,,None
22211,2022-01-31,5891.64599609375,6300.0,6475.0,6250.0,6475.0,2353700,CPIN.JK,-0.027027027027026973,6265.0,,,,,0,,-0.0,1.0,False,False,,,,None
22212,2022-02-02,5727.98876953125,6125.0,6250.0,6075.0,6200.0,5802700,CPIN.JK,-0.02777777777777779,6271.25,,,,,0,,-0.0,1.0,False,False,,,,None
22213,2022-02-03,5587.7119140625,5975.0,6125.0,5950.0,6125.0,6459000,CPIN.JK,-0.024489795918367308,6268.75,,,,,0,,-0.0,1.0,False,False,,,,None
22214,2022-02-04,5587.7119140625,5975.0,6075.0,5950.0,6000.0,3724200,CPIN.JK,0.0,6262.5,,,,,0,,0.0,1.0,False,False,,,,None
22215,2022-02-07,5681.22998046875,6075.0,6075.0,5975.0,6000.0,5111200,CPIN.JK,0.01673640167364021,6258.75,,,,,0,,0.0,1.0,False,False,,,,None
22216,2022-02-08,5517.5732421875,5900.0,6125.0,5900.0,6100.0,6946000,CPIN.JK,-0.028806584362139898,6250.0,,,,,0,,-0.0,1.0,False,False,,,,None
22217,2022-02-09,5494.193359375,5875.0,5975.0,5850.0,5925.0,9900500,CPIN.JK,-0.004237288135593209,6240.0,,,,,0,,-0.0,1.0,False,False,,,,None
22218,2022-02-10,5470.81396484375,5850.0,5950.0,5850.0,5875.0,5168400,CPIN.JK,-0.004255319148936176,6225.0,,,,,0,,-0.0,1.0,False,False,,,,None
22219,2022-02-11,5470.81396484375,5850.0,5900.0,5775.0,5850.0,8102400,CPIN.JK,0.0,6210.0,,,,,0,,0.0,1.0,False,False,,,,None
22220,2022-02-14,5424.0546875,5800.0,5850.0,5750.0,5850.0,6525600,CPIN.JK,-0.008547008547008517,6191.25,,,,,0,,-0.0,1.0,False,False,,,,None
22221,2022-02-15,5470.81396484375,5850.0,5875.0,5800.0,5800.0,6722400,CPIN.JK,0.008620689655172376,6176.25,,,,,0,,0.0,1.0,False,False,,,,None
22222,2022-02-16,5424.0546875,5800.0,5900.0,5800.0,5900.0,5431700,CPIN.JK,-0.008547008547008517,6156.25,,,,,0,,-0.0,1.0,False,False,,,,None
22223,2022-02-17,5400.67529296875,5775.0,5850.0,5775.0,5800.0,3536000,CPIN.JK,-0.004310344827586188,6125.0,,,,,0,,-0.0,1.0,False,False,,,,None
22224,2022-02-18,5447.4345703125,5825.0,5850.0,5750.0,5775.0,5351500,CPIN.JK,0.008658008658008587,6096.25,,,,,0,,0.0,1.0,False,False,,,,None
22225,2022-02-21,5377.2958984375,5750.0,5850.0,5750.0,5800.0,7204900,CPIN.JK,-0.012875536480686733,6057.5,,,,,0,,-0.0,1.0,False,False,,,,None
22226,2022-02-22,5611.09130859375,6000.0,6000.0,5750.0,5775.0,12436300,CPIN.JK,0.04347826086956519,6031.25,,,,,0,,0.0,1.0,False,False,,,,None
22227,2022-02-23,5611.09130859375,6000.0,6000.0,5875.0,5950.0,9878700,CPIN.JK,0.0,6006.25,,,,,0,,0.0,1.0,False,False,,,,None
22228,2022-02-24,5447.4345703125,5825.0,6000.0,5750.0,6000.0,10848900,CPIN.JK,-0.029166666666666674,5972.5,,,,,0,,-0.0,1.0,False,False,,,,None
22229,2022-02-25,5424.0546875,5800.0,5975.0,5800.0,5825.0,13852700,CPIN.JK,-0.0042918454935622075,5941.25,5941.25,6313.043307037518,5569.456692962482,5383.560039443722,0,,-0.0,1.0,False,False,,,,None
22230,2022-03-01,5353.91650390625,5725.0,5850.0,5650.0,5800.0,15520700,CPIN.JK,-0.012931034482758674,5903.75,5903.75,6190.416411668593,5617.083588331407,5473.75038249711,0,,-0.0,1.0,False,False,,,,None
22231,2022-03-02,5330.53662109375,5700.0,5900.0,5700.0,5725.0,14308300,CPIN.JK,-0.004366812227074246,5873.75,5873.75,6106.284660687504,5641.215339312496,5524.948008968744,0,,-0.0,1.0,False,False,,,,None
22232,2022-03-04,5330.53662109375,5700.0,5800.0,5675.0,5700.0,6784300,CPIN.JK,0.0,5852.5,5852.5,6065.189543949069,5639.810456050931,5533.4656840763955,0,,0.0,1.0,False,False,,,,None
22233,2022-03-07,5143.50048828125,5500.0,5775.0,5500.0,5750.0,11261900,CPIN.JK,-0.03508771929824561,5828.75,5828.75,6085.385621271216,5572.114378728784,5443.796568093176,1,,-0.0,1.0,True,False,0.050000000000000044,2022-03-11,5775.0,Win
22234,2022-03-08,5049.982421875,5400.0,5575.0,5350.0,5500.0,11806800,CPIN.JK,-0.018181818181818188,5800.0,5800.0,6110.771535647043,5489.228464352957,5333.842696529437,1,,-0.018181818181818188,0.9818181818181818,False,False,,,,None
22235,2022-03-09,5166.8798828125,5525.0,5625.0,5425.0,5425.0,10170700,CPIN.JK,0.02314814814814814,5772.5,5772.5,6078.1055248880575,5466.8944751119425,5314.091712667913,1,,0.02314814814814814,1.0045454545454546,False,False,,,,None
22236,2022-03-10,5353.91650390625,5725.0,5725.0,5575.0,5625.0,7063500,CPIN.JK,0.03619909502262453,5763.75,5763.75,6063.958261045562,5463.541738954438,5313.437608431658,1,,0.03619909502262453,1.040909090909091,False,False,,,,None
22237,2022-03-11,5400.67529296875,5775.0,5775.0,5650.0,5725.0,4679500,CPIN.JK,0.008733624454148492,5758.75,5758.75,6054.453888161255,5463.046111838745,5315.194167758117,0,,0.008733624454148492,1.05,False,True,,,,None
22238,2022-03-14,5470.81396484375,5850.0,5850.0,5750.0,5800.0,7497300,CPIN.JK,0.01298701298701288,5758.75,5758.75,6054.453888161255,5463.046111838745,5315.194167758117,0,,0.0,1.05,False,False,,,,None
22239,2022-03-15,5307.15771484375,5675.0,5875.0,5625.0,5875.0,10866000,CPIN.JK,-0.02991452991452992,5750.0,5750.0,6044.689845877251,5455.310154122749,5307.965231184124,0,,-0.0,1.05,False,False,,,,None
22240,2022-03-16,5424.0546875,5800.0,5825.0,5675.0,5700.0,6318300,CPIN.JK,0.022026431718061623,5750.0,5750.0,6044.689845877251,5455.310154122749,5307.965231184124,0,,0.0,1.05,False,False,,,,None
22241,2022-03-17,5400.67529296875,5775.0,5850.0,5675.0,5825.0,8350200,CPIN.JK,-0.004310344827586188,5746.25,5746.25,6037.470209680434,5455.029790319566,5309.41968547935,0,,-0.0,1.05,False,False,,,,None
22242,2022-03-18,5494.193359375,5875.0,5875.0,5700.0,5775.0,13414100,CPIN.JK,0.017316017316017396,5750.0,5750.0,6046.0263146197785,5453.9736853802215,5305.960528070332,0,,0.0,1.05,False,False,,,,None
22243,2022-03-21,5377.2958984375,5750.0,5875.0,5700.0,5875.0,5543200,CPIN.JK,-0.021276595744680882,5748.75,5748.75,6044.542868495222,5452.957131504778,5305.060697257168,0,,-0.0,1.05,False,False,,,,None
22244,2022-03-22,5400.67529296875,5775.0,5775.0,5700.0,5750.0,5083300,CPIN.JK,0.004347826086956497,5746.25,5746.25,6040.168624613577,5452.331375386423,5305.372063079634,0,,0.0,1.05,False,False,,,,None
22245,2022-03-23,5307.15771484375,5675.0,5800.0,5650.0,5775.0,7231900,CPIN.JK,-0.017316017316017285,5742.5,5742.5,6038.126008399304,5446.873991600696,5299.060987401044,0,,-0.0,1.05,False,False,,,,None
22246,2022-03-24,5377.2958984375,5750.0,5750.0,5650.0,5650.0,5895500,CPIN.JK,0.013215859030837107,5730.0,5730.0,5999.7952439985,5460.2047560015,5325.307134002249,0,,0.0,1.05,False,False,,,,None
22247,2022-03-25,5260.39794921875,5625.0,5750.0,5550.0,5750.0,14282600,CPIN.JK,-0.021739130434782594,5711.25,5711.25,5952.668505373639,5469.831494626361,5349.122241939541,0,,-0.0,1.05,False,False,,,,None
22248,2022-03-28,5330.53662109375,5700.0,5725.0,5575.0,5650.0,8442800,CPIN.JK,0.01333333333333342,5705.0,5705.0,5940.416763701269,5469.583236298731,5351.874854448097,0,,0.0,1.05,False,False,,,,None
22249,2022-03-29,5283.77783203125,5650.0,5750.0,5625.0,5725.0,5611900,CPIN.JK,-0.00877192982456143,5697.5,5697.5,5929.709070950252,5465.290929049748,5349.186393574623,0,,-0.0,1.05,False,False,,,,None
22250,2022-03-30,5307.15771484375,5675.0,5675.0,5600.0,5650.0,8084800,CPIN.JK,0.004424778761061843,5695.0,5695.0,5927.03901668288,5462.96098331712,5346.94147497568,0,,0.0,1.05,False,False,,,,None
22251,2022-03-31,5283.77783203125,5650.0,5750.0,5600.0,5700.0,11279600,CPIN.JK,-0.004405286343612369,5692.5,5692.5,5925.388046291052,5459.611953708948,5343.1679305634225,0,,-0.0,1.05,False,False,,,,None
22252,2022-04-01,5307.15771484375,5675.0,5675.0,5600.0,5650.0,5733400,CPIN.JK,0.004424778761061843,5691.25,5691.25,5924.236898208552,5458.263101791448,5341.769652687172,0,,0.0,1.05,False,False,,,,None
22253,2022-04-04,5353.91650390625,5725.0,5725.0,5625.0,5675.0,7538500,CPIN.JK,0.008810572687224738,5702.5,5702.5,5917.649886554026,5487.350113445974,5379.77517016896,0,,0.0,1.05,False,False,,,,None
22254,2022-04-05,5283.77783203125,5650.0,5750.0,5650.0,5725.0,7252200,CPIN.JK,-0.013100436681222738,5715.0,5715.0,5879.156536333625,5550.843463666375,5468.765195499564,0,,-0.0,1.05,False,False,,,,None
22255,2022-04-06,5213.638671875,5575.0,5700.0,5525.0,5625.0,12677700,CPIN.JK,-0.013274336283185861,5717.5,5717.5,5870.625335660212,5564.374664339788,5487.811996509682,0,,-0.0,1.05,False,False,,,,None
22256,2022-04-07,5190.259765625,5550.0,5625.0,5525.0,5575.0,6261300,CPIN.JK,-0.004484304932735439,5708.75,5708.75,5879.10180316658,5538.39819683342,5453.22229525013,0,,-0.0,1.05,False,False,,,,None
22257,2022-04-08,5143.50048828125,5500.0,5575.0,5500.0,5550.0,8454600,CPIN.JK,-0.009009009009009028,5695.0,5695.0,5885.980847758424,5504.019152241576,5408.528728362364,1,,-0.0,1.05,True,False,-0.06681818181818167,2022-05-20,5150.0,Loss
22258,2022-04-11,5049.982421875,5400.0,5550.0,5275.0,5525.0,16411800,CPIN.JK,-0.018181818181818188,5672.5,5672.5,5890.686303781641,5454.313696218359,5345.220544327538,1,,-0.018181818181818188,1.030909090909091,False,False,,,,None
22259,2022-04-12,4979.84326171875,5325.0,5425.0,5200.0,5400.0,11699600,CPIN.JK,-0.01388888888888884,5655.0,5655.0,5922.837342626571,5387.162657373429,5253.2439860601435,1,,-0.01388888888888884,1.0165909090909093,False,False,,,,None
22260,2022-04-13,4886.3251953125,5225.0,5325.0,5175.0,5325.0,11179500,CPIN.JK,-0.018779342723004744,5626.25,5626.25,5946.806670414715,5305.693329585285,5145.4149943779275,1,,-0.018779342723004744,0.9975000000000002,False,False,,,,None
22261,2022-04-14,4666.5576171875,4990.0,5225.0,4990.0,5225.0,19434100,CPIN.JK,-0.04497607655502389,5587.0,5587.0,6007.518476970613,5166.481523029387,4956.22228454408,1,,-0.04497607655502389,0.9526363636363638,False,False,,,,None
22262,2022-04-18,4675.90966796875,5000.0,5100.0,4980.0,4990.0,9857100,CPIN.JK,0.002004008016031955,5543.25,5543.25,6016.3837298436765,5070.1162701563235,4833.549405234485,1,,0.002004008016031955,0.9545454545454547,False,False,,,,None
22263,2022-04-19,4816.1865234375,5150.0,5175.0,5025.0,5050.0,10653000,CPIN.JK,0.030000000000000027,5513.25,5513.25,6006.832766482402,5019.667233517598,4772.875850276398,1,,0.030000000000000027,0.9831818181818184,False,False,,,,None
22264,2022-04-20,4699.28857421875,5025.0,5200.0,5025.0,5150.0,10036700,CPIN.JK,-0.024271844660194164,5475.75,5475.75,5998.689817408828,4952.810182591172,4691.340273886757,1,,-0.024271844660194164,0.9593181818181821,False,False,,,,None
22265,2022-04-21,4675.90966796875,5000.0,5100.0,4990.0,5050.0,10079600,CPIN.JK,-0.00497512437810943,5442.0,5442.0,5996.943335182213,4887.056664817787,4609.584997226681,1,,-0.00497512437810943,0.9545454545454548,False,False,,,,None
